date,open,high,low,close,adjusted close,volume
31/12/1965,528.690002,528.690002,528.690002,528.690002,528.690002,0
3/1/1966,527.210022,527.210022,527.210022,527.210022,527.210022,0
4/1/1966,527.840027,527.840027,527.840027,527.840027,527.840027,0
5/1/1966,531.119995,531.119995,531.119995,531.119995,531.119995,0
6/1/1966,532.070007,532.070007,532.070007,532.070007,532.070007,0
7/1/1966,532.599976,532.599976,532.599976,532.599976,532.599976,0
10/1/1966,533.869995,533.869995,533.869995,533.869995,533.869995,0
11/1/1966,534.289978,534.289978,534.289978,534.289978,534.289978,0
12/1/1966,533.340027,533.340027,533.340027,533.340027,533.340027,0
13/1/1966,534.400024,534.400024,534.400024,534.400024,534.400024,0
14/1/1966,535.450012,535.450012,535.450012,535.450012,535.450012,0
17/1/1966,537.460022,537.460022,537.460022,537.460022,537.460022,0
18/1/1966,538.940002,538.940002,538.940002,538.940002,538.940002,0
19/1/1966,537.669983,537.669983,537.669983,537.669983,537.669983,0
20/1/1966,535.669983,535.669983,535.669983,535.669983,535.669983,0
21/1/1966,535.97998,535.97998,535.97998,535.97998,535.97998,0
24/1/1966,537.669983,537.669983,537.669983,537.669983,537.669983,0
25/1/1966,538.099976,538.099976,538.099976,538.099976,538.099976,0
26/1/1966,537.570007,537.570007,537.570007,537.570007,537.570007,0
27/1/1966,537.359985,537.359985,537.359985,537.359985,537.359985,0
28/1/1966,535.669983,535.669983,535.669983,535.669983,535.669983,0
31/1/1966,533.340027,533.340027,533.340027,533.340027,533.340027,0
1/2/1966,529.109985,529.109985,529.109985,529.109985,529.109985,0
2/2/1966,531.440002,531.440002,531.440002,531.440002,531.440002,0
3/2/1966,532.070007,532.070007,532.070007,532.070007,532.070007,0
4/2/1966,535.450012,535.450012,535.450012,535.450012,535.450012,0
7/2/1966,537.25,537.25,537.25,537.25,537.25,0
8/2/1966,536.830017,536.830017,536.830017,536.830017,536.830017,0
9/2/1966,539.890015,539.890015,539.890015,539.890015,539.890015,0
10/2/1966,538.409973,538.409973,538.409973,538.409973,538.409973,0
11/2/1966,538.309998,538.309998,538.309998,538.309998,538.309998,0
14/2/1966,537.780029,537.780029,537.780029,537.780029,537.780029,0
15/2/1966,535.450012,535.450012,535.450012,535.450012,535.450012,0
16/2/1966,535.349976,535.349976,535.349976,535.349976,535.349976,0
17/2/1966,532.48999,532.48999,532.48999,532.48999,532.48999,0
18/2/1966,531.440002,531.440002,531.440002,531.440002,531.440002,0
21/2/1966,528.26001,528.26001,528.26001,528.26001,528.26001,0
23/2/1966,525.940002,525.940002,525.940002,525.940002,525.940002,0
24/2/1966,522.450012,522.450012,522.450012,522.450012,522.450012,0
25/2/1966,523.929993,523.929993,523.929993,523.929993,523.929993,0
28/2/1966,524.559998,524.559998,524.559998,524.559998,524.559998,0
1/3/1966,517.900024,517.900024,517.900024,517.900024,517.900024,0
2/3/1966,512.830017,512.830017,512.830017,512.830017,512.830017,0
3/3/1966,514.940002,514.940002,514.940002,514.940002,514.940002,0
4/3/1966,513.349976,513.349976,513.349976,513.349976,513.349976,0
7/3/1966,506.380005,506.380005,506.380005,506.380005,506.380005,0
8/3/1966,506.899994,506.899994,506.899994,506.899994,506.899994,0
9/3/1966,511.130005,511.130005,511.130005,511.130005,511.130005,0
10/3/1966,511.23999,511.23999,511.23999,511.23999,511.23999,0
11/3/1966,510.820007,510.820007,510.820007,510.820007,510.820007,0
14/3/1966,504.899994,504.899994,504.899994,504.899994,504.899994,0
15/3/1966,501.51001,501.51001,501.51001,501.51001,501.51001,0
16/3/1966,504.26001,504.26001,504.26001,504.26001,504.26001,0
17/3/1966,505.850006,505.850006,505.850006,505.850006,505.850006,0
18/3/1966,508.279999,508.279999,508.279999,508.279999,508.279999,0
21/3/1966,512.190002,512.190002,512.190002,512.190002,512.190002,0
22/3/1966,513.669983,513.669983,513.669983,513.669983,513.669983,0
23/3/1966,511.980011,511.980011,511.980011,511.980011,511.980011,0
24/3/1966,512.719971,512.719971,512.719971,512.719971,512.719971,0
25/3/1966,513.98999,513.98999,513.98999,513.98999,513.98999,0
28/3/1966,514.940002,514.940002,514.940002,514.940002,514.940002,0
29/3/1966,512.830017,512.830017,512.830017,512.830017,512.830017,0
30/3/1966,508.600006,508.600006,508.600006,508.600006,508.600006,0
31/3/1966,511.450012,511.450012,511.450012,511.450012,511.450012,0
1/4/1966,515.580017,515.580017,515.580017,515.580017,515.580017,0
4/4/1966,520.22998,520.22998,520.22998,520.22998,520.22998,0
5/4/1966,523.51001,523.51001,523.51001,523.51001,523.51001,0
6/4/1966,524.880005,524.880005,524.880005,524.880005,524.880005,0
7/4/1966,525.940002,525.940002,525.940002,525.940002,525.940002,0
11/4/1966,525.72998,525.72998,525.72998,525.72998,525.72998,0
12/4/1966,524.140015,524.140015,524.140015,524.140015,524.140015,0
13/4/1966,524.349976,524.349976,524.349976,524.349976,524.349976,0
14/4/1966,525.409973,525.409973,525.409973,525.409973,525.409973,0
15/4/1966,526.359985,526.359985,526.359985,526.359985,526.359985,0
18/4/1966,524.25,524.25,524.25,524.25,524.25,0
19/4/1966,524.559998,524.559998,524.559998,524.559998,524.559998,0
20/4/1966,527.419983,527.419983,527.419983,527.419983,527.419983,0
21/4/1966,529.109985,529.109985,529.109985,529.109985,529.109985,0
22/4/1966,528.049988,528.049988,528.049988,528.049988,528.049988,0
25/4/1966,527.52002,527.52002,527.52002,527.52002,527.52002,0
26/4/1966,526.150024,526.150024,526.150024,526.150024,526.150024,0
27/4/1966,524.349976,524.349976,524.349976,524.349976,524.349976,0
28/4/1966,521.179993,521.179993,521.179993,521.179993,521.179993,0
29/4/1966,521.179993,521.179993,521.179993,521.179993,521.179993,0
2/5/1966,520.539978,520.539978,520.539978,520.539978,520.539978,0
3/5/1966,514.72998,514.72998,514.72998,514.72998,514.72998,0
4/5/1966,511.980011,511.980011,511.980011,511.980011,511.980011,0
5/5/1966,503.100006,503.100006,503.100006,503.100006,503.100006,0
6/5/1966,502.149994,502.149994,502.149994,502.149994,502.149994,0
9/5/1966,493.480011,493.480011,493.480011,493.480011,493.480011,0
10/5/1966,497.709991,497.709991,497.709991,497.709991,497.709991,0
11/5/1966,498.549988,498.549988,498.549988,498.549988,498.549988,0
12/5/1966,492.420013,492.420013,492.420013,492.420013,492.420013,0
13/5/1966,487.339996,487.339996,487.339996,487.339996,487.339996,0
16/5/1966,480.890015,480.890015,480.890015,480.890015,480.890015,0
17/5/1966,476.450012,476.450012,476.450012,476.450012,476.450012,0
18/5/1966,485.549988,485.549988,485.549988,485.549988,485.549988,0
19/5/1966,484.809998,484.809998,484.809998,484.809998,484.809998,0
20/5/1966,487.130005,487.130005,487.130005,487.130005,487.130005,0
23/5/1966,491.470001,491.470001,491.470001,491.470001,491.470001,0
24/5/1966,494.850006,494.850006,494.850006,494.850006,494.850006,0
25/5/1966,496.75,496.75,496.75,496.75,496.75,0
26/5/1966,496.75,496.75,496.75,496.75,496.75,0
27/5/1966,498.450012,498.450012,498.450012,498.450012,498.450012,0
31/5/1966,491.679993,491.679993,491.679993,491.679993,491.679993,0
1/6/1966,491.779999,491.779999,491.779999,491.779999,491.779999,0
2/6/1966,491.470001,491.470001,491.470001,491.470001,491.470001,0
3/6/1966,492.100006,492.100006,492.100006,492.100006,492.100006,0
6/6/1966,488.609985,488.609985,488.609985,488.609985,488.609985,0
7/6/1966,485.119995,485.119995,485.119995,485.119995,485.119995,0
8/6/1966,485.859985,485.859985,485.859985,485.859985,485.859985,0
9/6/1966,489.350006,489.350006,489.350006,489.350006,489.350006,0
10/6/1966,494.640015,494.640015,494.640015,494.640015,494.640015,0
13/6/1966,496.970001,496.970001,496.970001,496.970001,496.970001,0
14/6/1966,498.660004,498.660004,498.660004,498.660004,498.660004,0
15/6/1966,496.75,496.75,496.75,496.75,496.75,0
16/6/1966,495.589996,495.589996,495.589996,495.589996,495.589996,0
17/6/1966,495.700012,495.700012,495.700012,495.700012,495.700012,0
20/6/1966,495.48999,495.48999,495.48999,495.48999,495.48999,0
21/6/1966,497.279999,497.279999,497.279999,497.279999,497.279999,0
22/6/1966,498.230011,498.230011,498.230011,498.230011,498.230011,0
23/6/1966,496.230011,496.230011,496.230011,496.230011,496.230011,0
24/6/1966,496.440002,496.440002,496.440002,496.440002,496.440002,0
27/6/1966,493.369995,493.369995,493.369995,493.369995,493.369995,0
28/6/1966,491.040009,491.040009,491.040009,491.040009,491.040009,0
29/6/1966,486.179993,486.179993,486.179993,486.179993,486.179993,0
30/6/1966,485.440002,485.440002,485.440002,485.440002,485.440002,0
1/7/1966,490.200012,490.200012,490.200012,490.200012,490.200012,0
5/7/1966,491.040009,491.040009,491.040009,491.040009,491.040009,0
6/7/1966,497.920013,497.920013,497.920013,497.920013,497.920013,0
7/7/1966,499.709991,499.709991,499.709991,499.709991,499.709991,0
8/7/1966,500.559998,500.559998,500.559998,500.559998,500.559998,0
11/7/1966,499.820007,499.820007,499.820007,499.820007,499.820007,0
12/7/1966,497.279999,497.279999,497.279999,497.279999,497.279999,0
13/7/1966,494.220001,494.220001,494.220001,494.220001,494.220001,0
14/7/1966,497.070007,497.070007,497.070007,497.070007,497.070007,0
15/7/1966,498.549988,498.549988,498.549988,498.549988,498.549988,0
