Row Labels,Day,NSEI,TWII,Ind
2017-01,3,8219.099609,9273.650391,1
2017-01,4,8218.5,9299.620117,1
2017-01,5,8282.650391,9358.419922,1
2017-01,6,8306.849609,9381.110352,1
2017-01,9,8263,9404.900391,1
2017-01,10,8293.799805,9353.599609,1
2017-01,11,8389,9384,1
2017-01,12,8417.200195,9430.580078,1
2017-01,13,8461.049805,9387.679688,1
2017-01,16,8426.700195,9359.009766,1
2017-01,17,8440.900391,9354.530273,1
2017-01,18,8460.299805,9350.950195,1
2017-01,19,8445.150391,9337.639648,1
2017-01,20,8423.650391,9350.070313,1
2017-01,23,8404.150391,9427.459961,1
2017-01,24,8480.950195,9468.339844,1
2017-02,2,8757.599609,9521.339844,1
2017-02,3,8748.25,9478.009766,1
2017-02,6,8814.099609,9548.679688,1
2017-02,7,8809.299805,9555.799805,1
2017-02,8,8791.25,9564.070313,1
2017-02,9,8821.400391,9600.089844,1
2017-02,10,8822.099609,9688.150391,1
2017-02,13,8826.900391,9711.429688,1
2017-02,14,8820.450195,9760.009766,1
2017-02,15,8807.900391,9813.980469,1
2017-02,16,8783.950195,9869.589844,1
2017-02,17,8896.450195,9791.589844,1
2017-02,20,8886.25,9817.139648,1
2017-02,21,8920.799805,9775.490234,1
2017-02,22,8960.75,9820.070313,1
2017-02,23,8982.150391,9810.55957,1
2017-03,1,8960.799805,9758.780273,1
2017-03,2,8992.5,9774.599609,1
2017-03,3,8907.099609,9679.820313,1
2017-03,6,8967.799805,9688.5,1
2017-03,7,8977.849609,9738.070313,1
2017-03,8,8957.049805,9773.490234,1
2017-03,9,8945.799805,9743.780273,1
2017-03,10,8975.700195,9656.650391,1
2017-03,14,9122.75,9767.660156,1
2017-03,15,9106.549805,9749.009766,1
2017-03,16,9158.450195,9842.169922,1
2017-03,17,9218.400391,9908.69043,1
2017-03,20,9167.599609,9916.179688,1
2017-03,21,9147.75,9976.610352,1
2017-03,22,9072.900391,9922.660156,1
2017-03,23,9099.049805,9945.240234,1
2017-03,24,9133.549805,9932.679688,1
